POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
147,Mahipal Lomror,7.5,2,0,0,2,0,1,0
148,Barinder Sran,7,2,0,7,0,0,0,0
149,Prayas Ray Barman,7,1,0,2,2,0,0,0
150,Sudhesan Midhun,6.5,1,0,4,0,0,1,0
151,Siddhesh Lad,6,1,0,0,1,1,0,0
152,KC Cariappa,4.5,1,0,1,0,1,0,0
153,Sam Billings,2.5,1,0,0,0,0,1,0
154,Nikhil Naik,2.5,1,0,0,1,0,0,0
155,Dhruv Shorey,0,1,0,0,0,0,0,0
156,Hanuma Vihari,0,2,0,0,0,0,0,0
157,Karun Nair,0,1,0,0,0,0,0,0
158,Joe Denly,0,1,0,0,0,0,0,0
159,Prashant Chopra,0,1,0,0,0,0,0,0
160,Ashton Turner,0,4,0,0,0,0,0,0
161,Heinrich Klaasen,0,3,0,0,0,0,0,0
162,Ricky Bhui,0,1,0,0,0,0,0,0
