POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Gautam Gambhir,14,14,1,534,86,41.07,379,140.89,0,5,68,8
2,Shaun Marsh,11,11,2,616,115,68.44,441,139.68,1,5,59,26
3,Sanath Jayasuriya,14,14,2,518,114*,43.16,309,167.63,1,2,58,31
4,Graeme Smith,11,11,2,441,91,49.00,362,121.82,0,3,54,8
5,Adam Gilchrist,14,14,1,436,109*,33.53,318,137.10,1,3,51,19
6,Shane Watson,15,15,5,472,76*,47.20,311,151.76,0,4,47,19
7,Virender Sehwag,14,14,2,406,94*,33.83,220,184.54,0,3,46,21
8,Yusuf Pathan,16,15,1,435,68,31.07,243,179.01,0,4,43,25
9,Swapnil Asnodkar,9,9,0,311,60,34.55,233,133.47,0,2,43,6
10,Parthiv Patel,13,13,2,302,54,27.45,297,101.68,0,2,42,3
11,Kumar Sangakkara,10,9,0,320,94,35.55,198,161.61,0,4,41,8
12,MS Dhoni,16,14,4,414,65,41.40,310,133.54,0,2,38,15
13,Rohit Sharma,13,12,1,404,76*,36.72,273,147.98,0,4,38,19
14,Suresh Raina,16,14,3,421,55*,38.27,296,142.22,0,3,35,18
15,Rahul Dravid,14,14,1,371,75*,28.53,298,124.49,0,2,35,11
16,Shikhar Dhawan,14,14,5,340,68*,37.77,295,115.25,0,4,35,8
17,Robin Uthappa,14,14,5,320,48,35.55,279,114.69,0,0,34,9
18,Sourav Ganguly,13,13,1,349,91,29.08,307,113.68,0,3,33,15
19,Salman Butt,7,7,0,193,73,27.57,161,119.87,0,1,30,2
20,James Hopes,11,11,0,221,71,20.09,148,149.32,0,2,27,8
21,Stephen Fleming,10,10,1,196,45,21.77,164,119.51,0,0,27,3
22,Sachin Tendulkar,7,7,1,188,65,31.33,177,106.21,0,1,26,2
23,Yuvraj Singh,15,14,1,299,57,23.00,184,162.50,0,1,24,19
24,Mark Boucher,10,10,3,225,50*,32.14,177,127.11,0,1,24,6
25,Matthew Hayden,4,4,1,189,81,63.00,131,144.27,0,2,24,6
26,Jacques Kallis,11,11,0,199,54,18.09,183,108.74,0,1,23,4
27,Venugopal Rao,11,10,2,288,71*,36.00,210,137.14,0,2,22,15
28,VVS Laxman,6,6,1,155,52,31.00,132,117.42,0,1,22,1
29,Subramaniam Badrinath,16,11,5,192,64,32.00,130,147.69,0,2,21,8
30,Vidyut Sivaramakrishnan,9,8,0,145,54,18.12,109,133.02,0,1,21,3
31,David Hussey,13,13,2,319,71,29.00,259,123.16,0,2,19,17
32,Dwayne Bravo,9,7,1,178,64*,29.66,134,132.83,0,1,19,5
33,Albie Morkel,13,10,3,241,71,34.42,163,147.85,0,1,18,14
34,Virat Kohli,13,12,1,165,38,15.00,157,105.09,0,0,18,4
35,Herschelle Gibbs,9,9,0,167,47,18.55,153,109.15,0,0,17,8
36,Laxmi Ratan Shukla,13,12,4,163,42,20.37,122,133.60,0,0,17,5
37,Abhishek Nayar,14,10,2,206,45*,25.75,138,149.27,0,0,16,9
38,Manoj Tiwary,9,7,3,104,39,26.00,85,122.35,0,0,16,0
39,Mahela Jayawardene,13,12,5,179,45*,25.57,131,136.64,0,0,15,7
40,Andrew Symonds,4,3,1,161,117*,80.50,105,153.33,1,0,15,9
41,Mohammad Kaif,16,14,3,176,34*,16.00,171,102.92,0,0,14,6
42,Tillakaratne Dilshan,7,7,1,104,33,17.33,79,131.64,0,0,14,3
43,Brendon McCullum,4,4,1,188,158*,62.66,92,204.34,1,0,13,15
44,Luke Pomersbach,5,5,4,152,79*,152.00,99,153.53,0,1,13,9
45,Ross Taylor,4,4,0,149,53,37.25,81,183.95,0,1,13,10
46,Dinesh Karthik,13,8,2,145,56*,24.16,107,135.51,0,1,13,4
47,Kamran Akmal,6,6,1,128,53*,25.60,78,164.10,0,1,13,8
48,Niraj Patel,5,4,2,103,57,51.50,81,127.16,0,1,13,1
49,Michael Hussey,4,3,1,168,116*,84.00,100,168.00,1,0,12,11
50,Wriddhiman Saha,12,10,5,159,59*,31.80,119,133.61,0,1,12,7
51,Shaun Pollock,13,8,0,147,33,18.37,111,132.43,0,0,12,8
52,Wasim Jaffer,6,6,0,115,50,19.16,104,110.57,0,1,12,3
