POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,Maid,Avg,Econ,SR,4w,5w
1,Jofra Archer,11,11,43,291,11,2,26.45,6.76,23.45,0,0
2,Deepak Chahar,17,17,64.3,482,22,2,21.90,7.47,17.59,0,0
3,Rashid Khan,15,15,60,377,17,1,22.17,6.28,21.17,0,0
4,Ravindra Jadeja,16,16,54,343,15,1,22.86,6.35,21.60,0,0
5,Imran Tahir,17,17,64.2,431,26,1,16.57,6.69,14.84,2,0
6,Harbhajan Singh,11,11,44,312,16,1,19.50,7.09,16.50,0,0
7,Shreyas Gopal,14,14,48,347,20,1,17.35,7.22,14.40,0,0
8,Ishant Sharma,13,13,46,349,13,1,26.84,7.58,21.23,0,0
9,Sunil Narine,12,12,44.2,347,10,1,34.70,7.82,26.60,0,0
10,Ish Sodhi,2,2,7.1,67,4,1,16.75,9.34,10.75,0,0
11,Dhawal Kulkarni,10,10,35,335,6,1,55.83,9.57,35.00,0,0
12,Varun Aaron,5,5,12,116,4,1,29.00,9.66,18.00,0,0
13,Alzarri Joseph,3,3,8.4,87,6,1,14.50,10.03,8.66,0,1
14,Jasprit Bumrah,16,16,61.4,409,19,1,21.52,6.63,19.47,0,0
15,Bhuvneshwar Kumar,15,15,59,461,13,1,35.46,7.81,27.23,0,0
16,Yuzvendra Chahal,14,14,49.2,386,18,1,21.44,7.82,16.44,1,0
17,Mitchell McClenaghan,5,5,18,142,3,1,47.33,7.88,36.00,0,0
18,Mohammed Siraj,9,9,28.1,269,7,1,38.42,9.55,24.14,0,0
