POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Matthew Hayden,12,12,1,572,89,52.00,395,144.81,0,5,60,22
2,Adam Gilchrist,16,16,0,495,85,30.93,325,152.30,0,3,54,29
3,Sachin Tendulkar,13,13,2,364,68,33.09,303,120.13,0,2,39,10
4,Suresh Raina,14,14,0,434,98,31.00,308,140.90,0,2,37,21
5,Jacques Kallis,15,15,2,361,69*,27.76,332,108.73,0,3,37,8
6,Brad Hodge,12,12,3,365,73,40.55,310,117.74,0,3,34,9
7,Herschelle Gibbs,14,14,3,371,69*,33.72,331,112.08,0,4,32,12
8,Kumar Sangakkara,14,13,2,332,60,30.18,324,102.46,0,2,29,5
9,Rahul Dravid,13,12,0,271,66,22.58,234,115.81,0,1,28,3
10,Brendon McCullum,13,13,1,285,84*,23.75,239,119.24,0,2,27,12
11,Graeme Smith,12,12,1,212,77,19.27,216,98.14,0,1,27,1
12,JP Duminy,13,12,3,372,62,41.33,325,114.46,0,5,26,11
13,Yuvraj Singh,14,14,2,340,58*,28.33,294,115.64,0,2,25,16
14,Yusuf Pathan,13,13,1,243,62*,20.25,183,132.78,0,1,24,12
15,Sanath Jayasuriya,12,12,0,221,52,18.41,192,115.10,0,2,23,7
16,Rohit Sharma,16,16,3,362,52,27.84,315,114.92,0,1,22,18
17,MS Dhoni,14,13,5,332,58*,41.50,261,127.20,0,2,22,9
18,Virat Kohli,16,13,2,246,50,22.36,219,112.32,0,1,22,8
19,Ravindra Jadeja,13,13,2,295,42,26.81,266,110.90,0,0,21,6
20,Ross Taylor,11,11,2,280,81*,31.11,208,134.61,0,1,20,15
21,Subramaniam Badrinath,14,11,2,177,59*,19.66,164,107.92,0,1,20,4
22,Parthiv Patel,9,9,0,142,36,15.77,126,112.69,0,0,19,2
23,Tirumalasetti Suman,12,12,2,237,41*,23.70,190,124.73,0,0,18,8
24,Robin Uthappa,15,13,2,175,66*,15.90,170,102.94,0,1,18,3
25,Mahela Jayawardene,10,10,4,219,52*,36.50,165,132.72,0,1,17,7
26,Irfan Pathan,14,12,2,196,39,19.60,158,124.05,0,0,17,6
27,Manish Pandey,5,4,2,168,114*,84.00,118,142.37,1,0,17,4
28,Andrew Symonds,8,8,1,249,60*,35.57,166,150.00,0,1,15,11
29,Dwayne Bravo,11,10,2,218,70*,27.25,203,107.38,0,2,15,8
30,Chris Gayle,7,7,1,171,44*,28.50,143,119.58,0,0,15,10
31,Simon Katich,9,9,0,145,50,16.11,117,123.93,0,1,15,6
32,Abhishek Nayar,13,11,2,193,35,21.44,152,126.97,0,0,14,7
33,Sourav Ganguly,13,11,0,189,46,17.18,207,91.30,0,0,13,6
34,Dwayne Smith,8,8,0,215,49,26.87,132,162.87,0,0,12,15
35,Ajinkya Rahane,8,7,1,144,62*,24.00,123,117.07,0,2,12,3
36,Rob Quiney,7,7,0,103,51,14.71,102,100.98,0,1,12,3
37,Naman Ojha,8,8,1,168,68,24.00,144,116.66,0,2,11,11
38,Swapnil Asnodkar,8,8,0,98,44,12.25,93,105.37,0,0,11,4
39,Lee Carseldine,5,5,1,81,39,20.25,68,119.11,0,0,11,0
40,Karan Goel,9,9,1,124,38,15.50,133,93.23,0,0,9,4
41,Sunny Sohal,8,8,0,115,43,14.37,93,123.65,0,0,9,8
42,Jesse Ryder,5,5,0,56,32,11.20,49,114.28,0,0,9,0
43,Mark Boucher,12,9,4,150,48*,30.00,116,129.31,0,0,8,6
44,Ravi Bopara,5,5,0,138,84,27.60,119,115.96,0,1,8,7
45,Roelof van der Merwe,10,8,0,122,35,15.25,98,124.48,0,0,8,8
46,Albie Morkel,12,10,6,97,21*,24.25,70,138.57,0,0,8,4
47,Kevin Pietersen,6,6,0,93,37,15.50,85,109.41,0,0,8,2
48,David Hussey,4,4,0,98,43,24.50,59,166.10,0,0,7,6
49,Dwaraka Ravi Teja,9,6,3,65,27,21.66,70,92.85,0,0,7,0
50,George Bailey,3,2,0,45,30,22.50,39,115.38,0,0,7,0
51,Venugopal Rao,16,13,2,124,32,11.27,114,108.77,0,0,6,3
52,Shane Warne,13,11,3,108,34*,13.50,116,93.10,0,0,6,4
53,Harbhajan Singh,13,10,2,84,20,10.50,53,158.49,0,0,6,5
54,Shreevats Goswami,2,2,0,53,43,26.50,60,88.33,0,0,6,0
55,Jacob Oram,11,8,2,88,41*,14.66,93,94.62,0,0,5,4
56,Laxmi Ratan Shukla,9,6,1,83,48*,16.60,85,97.64,0,0,5,3
57,Abhishek Raut,9,7,3,78,36*,19.50,61,127.86,0,0,5,3
58,Azhar Bilakhia,6,6,2,67,22,16.75,81,82.71,0,0,5,0
59,Andrew Flintoff,3,3,1,62,24,31.00,53,116.98,0,0,5,2
60,Yashpal Singh,8,4,0,47,20,11.75,66,71.21,0,0,5,0
61,Johan Botha,3,3,1,47,37,23.50,40,117.50,0,0,5,0
62,Munaf Patel,11,5,2,33,23*,11.00,26,126.92,0,0,5,0
63,Murali Vijay,4,4,0,60,31,15.00,67,89.55,0,0,4,2
64,Pinal Shah,9,5,2,53,29,17.66,51,103.92,0,0,4,2
65,Vinay Kumar,11,8,3,47,12,9.40,44,106.81,0,0,4,1
66,Dimitri Mascarenhas,5,4,0,39,27,9.75,39,100.00,0,0,4,0
67,Wriddhiman Saha,8,7,4,72,25*,24.00,41,175.60,0,0,3,4
68,Ajit Agarkar,11,7,5,66,39,33.00,57,115.78,0,0,3,3
69,Luke Pomersbach,4,4,0,41,26,10.25,49,83.67,0,0,3,1
70,Shikhar Dhawan,5,4,0,40,22,10.00,45,88.88,0,0,3,0
71,Shikhar Dhawan,5,4,0,40,22,10.00,45,88.88,0,0,3,0
72,Piyush Chawla,14,10,5,31,8*,6.20,36,86.11,0,0,3,0
73,Shadab Jakati,9,2,1,20,13,20.00,15,133.33,0,0,3,0
74,Moises Henriques,4,3,1,38,30*,19.00,40,95.00,0,0,2,1
75,Brett Lee,5,4,2,28,14*,14.00,34,82.35,0,0,2,1
76,Amit Mishra,11,5,2,26,13*,8.66,20,130.00,0,0,2,2
77,Ramesh Powar,9,4,3,23,10,23.00,22,104.54,0,0,2,0
78,Anil Kumble,16,7,6,16,7*,16.00,19,84.21,0,0,2,0
79,Angelo Mathews,1,1,0,16,16,16.00,13,123.07,0,0,2,0
80,Wasim Jaffer,2,2,0,15,8,7.50,17,88.23,0,0,2,0
