POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Glenn Maxwell,14,13,3,310,47,31.00,179,173.18,0,0,19,26
2,David Warner,14,14,3,641,126,58.27,452,141.81,1,4,63,26
3,Rishabh Pant,14,14,0,366,97,26.14,221,165.61,0,2,28,24
4,Kieron Pollard,17,16,3,385,70,29.61,276,139.49,0,3,26,22
5,Robin Uthappa,14,13,0,388,87,29.84,235,165.10,0,5,36,21
6,Hardik Pandya,17,16,9,250,35*,35.71,160,156.25,0,0,11,20
7,Chris Lynn,7,7,1,295,93*,49.16,163,180.98,0,3,25,19
8,Aaron Finch,13,13,1,299,72,24.91,180,166.11,0,2,25,19
9,Sanju Samson,14,14,0,386,102,27.57,273,141.39,1,2,32,19
10,Brendon McCullum,11,11,0,319,72,29.00,217,147.00,0,2,29,18
11,Hashim Amla,10,10,3,420,104*,60.00,288,145.83,2,2,40,17
12,Nitish Rana,13,12,1,333,62*,30.27,264,126.13,0,3,24,17
13,Rahul Tripathi,14,14,0,391,93,27.92,267,146.44,0,2,43,17
14,AB de Villiers,9,9,1,216,89*,27.00,163,132.51,0,1,12,16
15,MS Dhoni,16,15,4,290,61*,26.36,250,116.00,0,1,15,16
16,Jos Buttler,10,10,0,272,77,27.20,177,153.67,0,1,27,15
17,Ben Stokes,12,11,1,316,103*,31.60,221,142.98,1,1,22,15
18,Chris Gayle,9,9,0,200,77,22.22,163,122.69,0,1,15,14
19,Ishan Kishan,11,10,0,277,61,27.70,206,134.46,0,1,29,13
20,Suresh Raina,14,14,3,442,84,40.18,307,143.97,0,3,42,13
21,Manish Pandey,14,13,5,396,81*,49.50,308,128.57,0,2,28,12
22,Steve Smith,15,15,3,472,84*,39.33,387,121.96,0,3,38,12
23,Virat Kohli,10,10,0,308,64,30.80,252,122.22,0,4,23,11
24,Axar Patel,14,13,5,227,44,28.37,162,140.12,0,0,11,11
25,Dinesh Karthik,14,13,3,361,65,36.10,259,139.38,0,2,30,11
26,Manoj Tiwary,15,13,3,324,60,32.40,236,137.28,0,2,31,11
27,Kane Williamson,7,7,1,256,89,42.66,169,151.47,0,2,20,10
28,Shreyas Iyer,12,12,2,338,96,33.80,243,139.09,0,2,36,10
29,Kedar Jadhav,13,13,1,267,69,22.25,186,143.54,0,1,25,10
30,Sunil Narine,16,14,1,224,54,17.23,130,172.30,0,1,34,10
31,Manan Vohra,11,9,0,229,95,25.44,159,144.02,0,1,23,9
32,Corey Anderson,11,11,4,142,41*,20.28,123,115.44,0,0,8,9
