POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Adam Gilchrist,16,16,0,495,85,30.93,325,152.30,0,3,54,29
2,Matthew Hayden,12,12,1,572,89,52.00,395,144.81,0,5,60,22
3,Suresh Raina,14,14,0,434,98,31.00,308,140.90,0,2,37,21
4,Rohit Sharma,16,16,3,362,52,27.84,315,114.92,0,1,22,18
5,Yuvraj Singh,14,14,2,340,58*,28.33,294,115.64,0,2,25,16
6,Dwayne Smith,8,8,0,215,49,26.87,132,162.87,0,0,12,15
7,Ross Taylor,11,11,2,280,81*,31.11,208,134.61,0,1,20,15
8,Yusuf Pathan,13,13,1,243,62*,20.25,183,132.78,0,1,24,12
9,Brendon McCullum,13,13,1,285,84*,23.75,239,119.24,0,2,27,12
10,Herschelle Gibbs,14,14,3,371,69*,33.72,331,112.08,0,4,32,12
11,Andrew Symonds,8,8,1,249,60*,35.57,166,150.00,0,1,15,11
12,Naman Ojha,8,8,1,168,68,24.00,144,116.66,0,2,11,11
13,JP Duminy,13,12,3,372,62,41.33,325,114.46,0,5,26,11
14,Chris Gayle,7,7,1,171,44*,28.50,143,119.58,0,0,15,10
15,Sachin Tendulkar,13,13,2,364,68,33.09,303,120.13,0,2,39,10
16,Brad Hodge,12,12,3,365,73,40.55,310,117.74,0,3,34,9
17,MS Dhoni,14,13,5,332,58*,41.50,261,127.20,0,2,22,9
18,Sunny Sohal,8,8,0,115,43,14.37,93,123.65,0,0,9,8
19,Roelof van der Merwe,10,8,0,122,35,15.25,98,124.48,0,0,8,8
20,Dwayne Bravo,11,10,2,218,70*,27.25,203,107.38,0,2,15,8
21,Tirumalasetti Suman,12,12,2,237,41*,23.70,190,124.73,0,0,18,8
22,Jacques Kallis,15,15,2,361,69*,27.76,332,108.73,0,3,37,8
23,Virat Kohli,16,13,2,246,50,22.36,219,112.32,0,1,22,8
24,Ravi Bopara,5,5,0,138,84,27.60,119,115.96,0,1,8,7
25,Mahela Jayawardene,10,10,4,219,52*,36.50,165,132.72,0,1,17,7
26,Sanath Jayasuriya,12,12,0,221,52,18.41,192,115.10,0,2,23,7
27,Abhishek Nayar,13,11,2,193,35,21.44,152,126.97,0,0,14,7
28,David Hussey,4,4,0,98,43,24.50,59,166.10,0,0,7,6
29,Simon Katich,9,9,0,145,50,16.11,117,123.93,0,1,15,6
30,Mark Boucher,12,9,4,150,48*,30.00,116,129.31,0,0,8,6
31,Praveen Kumar,13,8,3,65,14*,13.00,46,141.30,0,0,1,6
32,Sourav Ganguly,13,11,0,189,46,17.18,207,91.30,0,0,13,6
33,Ravindra Jadeja,13,13,2,295,42,26.81,266,110.90,0,0,21,6
34,Irfan Pathan,14,12,2,196,39,19.60,158,124.05,0,0,17,6
35,Harbhajan Singh,13,10,2,84,20,10.50,53,158.49,0,0,6,5
36,Kumar Sangakkara,14,13,2,332,60,30.18,324,102.46,0,2,29,5
37,Manish Pandey,5,4,2,168,114*,84.00,118,142.37,1,0,17,4
38,Wriddhiman Saha,8,7,4,72,25*,24.00,41,175.60,0,0,3,4
39,Swapnil Asnodkar,8,8,0,98,44,12.25,93,105.37,0,0,11,4
40,Karan Goel,9,9,1,124,38,15.50,133,93.23,0,0,9,4
41,Jacob Oram,11,8,2,88,41*,14.66,93,94.62,0,0,5,4
