POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
42,Albie Morkel,12,10,6,97,21*,24.25,70,138.57,0,0,8,4
43,Shane Warne,13,11,3,108,34*,13.50,116,93.10,0,0,6,4
44,Subramaniam Badrinath,14,11,2,177,59*,19.66,164,107.92,0,1,20,4
45,Rob Quiney,7,7,0,103,51,14.71,102,100.98,0,1,12,3
46,Ajinkya Rahane,8,7,1,144,62*,24.00,123,117.07,0,2,12,3
47,Laxmi Ratan Shukla,9,6,1,83,48*,16.60,85,97.64,0,0,5,3
48,Abhishek Raut,9,7,3,78,36*,19.50,61,127.86,0,0,5,3
49,Ajit Agarkar,11,7,5,66,39,33.00,57,115.78,0,0,3,3
50,Rahul Dravid,13,12,0,271,66,22.58,234,115.81,0,1,28,3
51,Robin Uthappa,15,13,2,175,66*,15.90,170,102.94,0,1,18,3
52,Venugopal Rao,16,13,2,124,32,11.27,114,108.77,0,0,6,3
53,Rajesh Bishnoi,3,3,0,19,18,6.33,17,111.76,0,0,1,2
54,Andrew Flintoff,3,3,1,62,24,31.00,53,116.98,0,0,5,2
55,Murali Vijay,4,4,0,60,31,15.00,67,89.55,0,0,4,2
56,Kevin Pietersen,6,6,0,93,37,15.50,85,109.41,0,0,8,2
57,Manpreet Gony,7,3,1,13,7,6.50,7,185.71,0,0,0,2
58,Pinal Shah,9,5,2,53,29,17.66,51,103.92,0,0,4,2
59,Parthiv Patel,9,9,0,142,36,15.77,126,112.69,0,0,19,2
60,Amit Mishra,11,5,2,26,13*,8.66,20,130.00,0,0,2,2
61,Scott Styris,2,1,0,14,14,14.00,8,175.00,0,0,0,1
62,Chaminda Vaas,2,2,1,30,20,30.00,21,142.85,0,0,1,1
63,Tyron Henderson,2,2,0,11,11,5.50,16,68.75,0,0,0,1
64,Rohan Raje,4,2,1,12,11*,12.00,9,133.33,0,0,0,1
65,Joginder Sharma,4,2,1,20,16*,20.00,18,111.11,0,0,0,1
66,Moises Henriques,4,3,1,38,30*,19.00,40,95.00,0,0,2,1
67,Luke Pomersbach,4,4,0,41,26,10.25,49,83.67,0,0,3,1
68,Brett Lee,5,4,2,28,14*,14.00,34,82.35,0,0,2,1
69,VVS Laxman,5,5,0,19,10,3.80,33,57.57,0,0,1,1
70,Balachandra Akhil,6,3,1,17,9,8.50,15,113.33,0,0,1,1
71,Ishant Sharma,11,3,1,16,9,8.00,13,123.07,0,0,1,1
72,Ishant Sharma,11,3,1,16,9,8.00,13,123.07,0,0,1,1
73,Vinay Kumar,11,8,3,47,12,9.40,44,106.81,0,0,4,1
74,Graeme Smith,12,12,1,212,77,19.27,216,98.14,0,1,27,1
