POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,David Warner,14,14,3,641,126,58.27,452,141.81,1,4,63,26
2,Gautam Gambhir,16,16,4,498,76*,41.50,389,128.02,0,4,61,7
3,Shikhar Dhawan,14,14,1,479,77,36.84,376,127.39,0,3,53,9
4,Parthiv Patel,16,16,0,395,70,24.68,293,134.81,0,2,49,8
5,Rahul Tripathi,14,14,0,391,93,27.92,267,146.44,0,2,43,17
6,Suresh Raina,14,14,3,442,84,40.18,307,143.97,0,3,42,13
7,Hashim Amla,10,10,3,420,104*,60.00,288,145.83,2,2,40,17
8,Karun Nair,14,13,0,281,64,21.61,226,124.33,0,1,39,6
9,Steve Smith,15,15,3,472,84*,39.33,387,121.96,0,3,38,12
10,Robin Uthappa,14,13,0,388,87,29.84,235,165.10,0,5,36,21
11,Shreyas Iyer,12,12,2,338,96,33.80,243,139.09,0,2,36,10
12,Shaun Marsh,9,8,0,264,84,33.00,194,136.08,0,2,36,5
13,Ajinkya Rahane,16,16,1,382,60,25.46,323,118.26,0,2,35,9
14,Sunil Narine,16,14,1,224,54,17.23,130,172.30,0,1,34,10
15,Sanju Samson,14,14,0,386,102,27.57,273,141.39,1,2,32,19
16,Dwayne Smith,12,12,1,239,74,21.72,156,153.20,0,2,32,8
17,Rohit Sharma,17,16,2,333,67,23.78,273,121.97,0,3,31,9
18,Manoj Tiwary,15,13,3,324,60,32.40,236,137.28,0,2,31,11
19,Dinesh Karthik,14,13,3,361,65,36.10,259,139.38,0,2,30,11
20,Yuvraj Singh,12,11,2,252,70*,28.00,177,142.37,0,2,30,8
21,Brendon McCullum,11,11,0,319,72,29.00,217,147.00,0,2,29,18
22,Ishan Kishan,11,10,0,277,61,27.70,206,134.46,0,1,29,13
23,Manish Pandey,14,13,5,396,81*,49.50,308,128.57,0,2,28,12
24,Rishabh Pant,14,14,0,366,97,26.14,221,165.61,0,2,28,24
25,Moises Henriques,12,11,5,277,55*,46.16,203,136.45,0,3,28,4
26,Jos Buttler,10,10,0,272,77,27.20,177,153.67,0,1,27,15
27,Kieron Pollard,17,16,3,385,70,29.61,276,139.49,0,3,26,22
