POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
79,Angelo Mathews,9,8,1,127,35,18.14,108,117.59,0,0,5,4
80,Albie Morkel,16,12,5,107,28,15.28,68,157.35,0,0,5,6
81,Dishant Yagnik,5,3,2,25,10*,25.00,13,192.30,0,0,5,0
82,Laxmi Ratan Shukla,11,8,2,75,26,12.50,57,131.57,0,0,4,5
83,Shreevats Goswami,11,6,1,69,24,13.80,67,102.98,0,0,4,1
84,Johan Botha,11,7,3,58,14*,14.50,54,107.40,0,0,4,1
85,Lasith Malinga,14,6,0,55,17,9.16,53,103.77,0,0,4,3
86,Bhuvneshwar Kumar,11,9,6,40,11*,13.33,40,100.00,0,0,4,0
87,Pawan Negi,8,4,2,36,14,18.00,29,124.13,0,0,4,1
88,Rajat Bhatia,17,6,3,35,12,11.66,28,125.00,0,0,4,0
89,Paul Valthaty,6,6,0,30,13,5.00,51,58.82,0,0,4,0
90,Vinay Kumar,15,7,2,68,25,13.60,62,109.67,0,0,3,2
91,Callum Ferguson,4,4,0,50,23,12.50,63,79.36,0,0,3,0
92,Andre Russell,4,2,0,47,31,23.50,26,180.76,0,0,3,3
93,Kevon Cooper,6,4,2,38,14,19.00,20,190.00,0,0,3,3
94,Bharat Chipli,5,4,1,37,25*,12.33,35,105.71,0,0,3,2
95,Ashish Reddy,9,6,2,35,10*,8.75,29,120.68,0,0,3,1
96,Robin Peterson,5,5,2,32,16*,10.66,30,106.66,0,0,3,1
97,Daniel Vettori,9,6,2,31,20,7.75,26,119.23,0,0,3,1
98,Harmeet Singh Bansal,7,2,1,15,14,15.00,7,214.28,0,0,3,0
99,Sreenath Aravind,1,1,1,14,14*,-,8,175.00,0,0,3,0
100,Abhishek Nayar,4,4,1,45,24,15.00,49,91.83,0,0,2,1
