POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Ajinkya Rahane,16,16,2,560,103*,40.00,433,129.33,1,3,73,10
2,Gautam Gambhir,17,17,2,590,93,39.33,411,143.55,0,6,64,17
3,Rahul Dravid,16,16,0,462,58,28.87,412,112.13,0,2,63,4
4,Shikhar Dhawan,15,15,1,569,84,40.64,439,129.61,0,5,58,18
5,Virender Sehwag,16,16,1,495,87*,33.00,307,161.23,0,5,57,19
6,Mandeep Singh,16,16,0,432,75,27.00,342,126.31,0,2,53,7
7,Chris Gayle,15,14,2,733,128*,61.08,456,160.74,1,7,46,59
8,Cameron White,13,13,2,479,78,43.54,320,149.68,0,5,41,20
9,Rohit Sharma,17,16,2,433,109*,30.92,342,126.60,1,3,39,18
10,Murali Vijay,14,14,1,336,113,25.84,267,125.84,1,0,39,10
11,Shaun Marsh,13,13,2,336,68*,30.54,280,120.00,0,2,39,7
12,Mahela Jayawardene,16,15,3,335,56*,27.91,298,112.41,0,3,39,3
13,Sachin Tendulkar,13,13,2,324,74,29.45,283,114.48,0,2,39,4
14,Robin Uthappa,16,16,1,405,69,27.00,343,118.07,0,2,38,10
15,Brendon McCullum,12,12,0,289,56,24.08,283,102.12,0,1,37,3
16,Suresh Raina,19,18,1,441,73,25.94,325,135.69,0,1,36,19
17,Jacques Kallis,17,17,1,409,79,25.56,384,106.51,0,2,34,10
18,Virat Kohli,16,15,2,364,73*,28.00,326,111.65,0,2,33,9
19,Tillakaratne Dilshan,10,9,1,285,76*,35.62,261,109.19,0,3,33,5
20,Sourav Ganguly,15,15,0,268,45,17.86,271,98.89,0,0,30,4
21,Dinesh Karthik,17,14,1,238,44,18.30,213,111.73,0,0,30,2
22,Faf du Plessis,13,12,0,398,73,33.16,304,130.92,0,3,29,17
23,David Hussey,16,15,3,396,68*,33.00,305,129.83,0,2,28,17
24,Michael Hussey,8,8,0,261,56,32.62,236,110.59,0,2,28,8
25,David Warner,8,8,1,256,109*,36.57,156,164.10,1,1,28,14
26,MS Dhoni,19,17,5,358,51*,29.83,278,128.77,0,1,26,9
27,AB de Villiers,16,13,5,319,64*,39.87,198,161.11,0,3,26,15
28,Shane Watson,7,7,1,255,90*,42.50,168,151.78,0,2,26,14
29,Steve Smith,15,14,5,362,47*,40.22,267,135.58,0,0,24,14
30,Owais Shah,13,13,4,340,76,37.77,256,132.81,0,3,24,16
31,Jesse Ryder,11,11,1,256,86,25.60,212,120.75,0,2,23,8
32,Subramaniam Badrinath,15,9,2,196,57,28.00,181,108.28,0,1,23,2
33,Kevin Pietersen,8,8,3,305,103*,61.00,207,147.34,1,1,22,20
34,Ambati Rayudu,17,15,6,333,81*,37.00,252,132.14,0,2,21,14
35,Manoj Tiwary,16,15,5,260,59,26.00,246,105.69,0,1,21,3
36,Naman Ojha,18,16,5,255,64*,23.18,224,113.83,0,1,21,13
37,Kumar Sangakkara,12,12,1,200,82,18.18,184,108.69,0,1,21,4
38,Adam Gilchrist,7,7,2,172,64*,34.40,143,120.27,0,1,21,4
39,Dwayne Bravo,19,16,8,371,48,46.37,264,140.53,0,0,20,20
40,Mayank Agarwal,16,12,1,225,64*,20.45,158,142.40,0,1,19,15
41,Parthiv Patel,14,13,2,194,45,17.63,165,117.57,0,0,19,4
42,Brad Hodge,12,12,4,245,48*,30.62,175,140.00,0,0,18,9
43,Dwayne Smith,7,6,2,157,87*,39.25,98,160.20,0,1,18,7
44,Manvinder Bisla,7,7,0,213,89,30.42,160,133.12,0,1,16,10
45,Azhar Mahmood,11,10,2,186,36,23.25,142,130.98,0,0,16,8
46,Nitin Saini,10,10,0,140,50,14.00,141,99.29,0,1,16,0
47,James Franklin,12,11,2,220,79,24.44,223,98.65,0,1,15,6
48,Kieron Pollard,14,11,2,220,64,24.44,159,138.36,0,2,15,14
49,Ashok Menaria,15,12,1,220,40,20.00,202,108.91,0,0,14,8
50,Irfan Pathan,17,12,5,176,42*,25.14,126,139.68,0,0,14,6
51,Harbhajan Singh,17,11,2,108,33,12.00,80,135.00,0,0,14,3
52,JP Duminy,9,9,6,244,74,81.33,190,128.42,0,2,13,11
53,Ravindra Jadeja,19,14,2,191,48,15.91,151,126.49,0,0,13,9
54,Yogesh Nagar,13,8,3,152,43*,30.40,133,114.28,0,0,13,3
55,Ross Taylor,12,12,2,197,55,19.70,171,115.20,0,1,12,7
56,Manish Pandey,10,9,2,143,80*,20.42,112,127.67,0,1,12,6
57,Michael Clarke,6,6,0,98,41,16.33,93,105.37,0,0,12,0
58,Gurkeerat Mann Singh,5,4,1,86,29*,28.66,52,165.38,0,0,12,2
59,Daniel Harris,4,4,0,111,47,27.75,101,109.90,0,0,11,5
60,Yusuf Pathan,17,16,6,194,40*,19.40,169,114.79,0,0,10,7
61,Mithun Manhas,10,7,3,120,42*,30.00,96,125.00,0,0,10,4
62,Richard Levi,6,6,0,83,50,13.83,73,113.69,0,1,10,4
63,Saurabh Tiwary,15,11,3,191,36*,23.87,170,112.35,0,0,9,8
64,Debabrata Das,15,10,7,126,35*,42.00,93,135.48,0,0,9,6
65,Piyush Chawla,16,12,4,106,21*,13.25,88,120.45,0,0,9,4
66,Stuart Binny,8,6,2,90,30,22.50,67,134.32,0,0,9,3
67,Dan Christian,7,7,2,145,39,29.00,118,122.88,0,0,8,6
68,Venugopal Rao,10,7,1,132,36,22.00,126,104.76,0,0,8,5
69,Herschelle Gibbs,3,3,1,81,66*,40.50,88,92.04,0,1,8,2
70,Aaron Finch,2,2,0,55,30,27.50,51,107.84,0,0,8,0
71,Marlon Samuels,8,8,1,124,46,17.71,123,100.81,0,0,7,5
72,Anustup Majumdar,4,4,0,87,31,21.75,76,114.47,0,0,7,2
73,Siddharth Chitnis,6,4,1,66,38,22.00,62,106.45,0,0,7,1
74,David Miller,6,6,3,98,34*,32.66,75,130.66,0,0,6,4
75,Shakib Al Hasan,8,7,1,91,42,15.16,74,122.97,0,0,6,3
76,Akshath Reddy,5,3,0,73,42,24.33,59,123.72,0,0,6,2
77,Bipul Sharma,5,4,1,72,35*,24.00,47,153.19,0,0,6,3
78,Andrew McDonald,4,3,1,47,30,23.50,35,134.28,0,0,6,2
