POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Chris Gayle,14,14,2,491,117,40.91,333,147.44,1,2,39,38
2,Kieron Pollard,16,14,3,419,70,38.09,256,163.67,0,2,28,28
3,Brendon McCullum,14,14,1,436,100*,33.53,280,155.71,1,2,51,23
4,Virat Kohli,16,16,5,505,82*,45.90,386,130.82,0,3,35,23
5,AB de Villiers,16,14,3,513,133*,46.63,293,175.08,1,2,60,22
6,David Miller,13,13,2,357,89*,32.45,266,134.21,0,2,21,21
7,Lendl Simmons,13,13,1,540,71,45.00,441,122.44,0,6,56,21
8,Shreyas Iyer,14,14,1,439,83,33.76,342,128.36,0,4,41,21
9,David Warner,14,14,1,562,91,43.23,359,156.54,0,7,65,21
10,Rohit Sharma,16,16,2,482,98*,34.42,333,144.74,0,3,41,21
11,JP Duminy,14,13,3,414,78*,41.40,315,131.42,0,4,27,20
12,Andre Russell,13,11,2,326,66,36.22,169,192.89,0,3,35,19
13,MS Dhoni,17,17,5,372,53,31.00,305,121.96,0,1,27,17
14,Ambati Rayudu,15,14,5,281,53*,31.22,193,145.59,0,1,18,16
15,Dwayne Smith,16,16,0,399,62,24.93,335,119.10,0,2,52,16
16,Suresh Raina,17,17,2,374,62,24.93,304,123.02,0,2,31,16
17,Shane Watson,10,9,1,347,104*,43.37,257,135.01,1,1,37,14
18,Moises Henriques,9,9,2,287,74*,41.00,211,136.01,0,2,19,13
19,Ajinkya Rahane,14,13,2,540,91*,49.09,413,130.75,0,4,53,13
20,Yusuf Pathan,13,12,5,312,52,44.57,231,135.06,0,1,29,12
21,Eoin Morgan,9,9,1,187,63,23.37,151,123.84,0,1,11,11
22,Deepak Hooda,14,9,0,151,54,16.77,95,158.94,0,1,6,11
23,Wriddhiman Saha,14,13,0,249,42,19.15,197,126.39,0,0,16,10
24,Yuvraj Singh,14,13,0,248,57,19.07,210,118.09,0,2,23,10
25,Harbhajan Singh,15,10,3,117,64,16.71,73,160.27,0,1,9,9
26,Hardik Pandya,9,8,3,112,61*,22.40,62,180.64,0,1,9,8
27,Glenn Maxwell,11,11,0,145,43,13.18,112,129.46,0,0,13,8
28,Murali Vijay,11,11,0,251,39,22.81,228,110.08,0,0,27,8
29,Suryakumar Yadav,13,13,4,157,46*,17.44,113,138.93,0,0,12,8
30,Sanju Samson,14,11,1,204,76,20.40,163,125.15,0,1,16,8
31,Axar Patel,14,12,3,206,40*,22.88,174,118.39,0,0,13,8
32,Mayank Agarwal,10,10,1,213,68,23.66,177,120.33,0,2,23,7
33,Manish Pandey,13,12,1,225,40,20.45,184,122.28,0,0,22,7
34,George Bailey,13,13,2,259,61*,23.54,190,136.31,0,2,22,7
35,Robin Uthappa,13,13,1,364,80*,30.33,277,131.40,0,1,42,7
36,Kedar Jadhav,14,12,4,189,63*,23.62,140,135.00,0,1,16,7
37,Corey Anderson,4,4,1,114,55*,38.00,97,117.52,0,2,11,6
38,Ravi Bopara,9,8,3,145,41,29.00,120,120.83,0,0,6,6
39,Angelo Mathews,11,10,3,144,28,20.57,104,138.46,0,0,12,6
40,Karn Sharma,14,9,3,104,32,17.33,85,122.35,0,0,3,6
41,Mandeep Singh,14,9,2,157,54*,22.42,100,157.00,0,1,17,6
42,Shikhar Dhawan,14,14,1,353,54,27.15,286,123.42,0,3,45,6
43,Ashish Reddy,6,5,2,73,22*,24.33,46,158.69,0,0,3,5
44,Saurabh Tiwary,7,6,6,109,28*,-,78,139.74,0,0,9,5
45,Manan Vohra,7,7,0,82,39,11.71,81,101.23,0,0,4,5
46,KL Rahul,9,8,3,142,44*,28.40,126,112.69,0,0,8,5
47,Pawan Negi,10,9,1,116,36,14.50,73,158.90,0,0,10,5
48,Chris Morris,11,7,5,76,34*,38.00,46,165.21,0,0,3,5
49,James Faulkner,13,11,3,144,46,18.00,109,132.11,0,0,12,5
50,Karun Nair,14,12,1,181,61,16.45,145,124.82,0,1,18,5
51,Parthiv Patel,14,14,1,339,59,26.07,246,137.80,0,2,47,5
