POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
52,Dwayne Bravo,17,14,5,195,62*,21.66,148,131.75,0,1,22,5
53,Faf du Plessis,17,15,2,380,55,29.23,304,125.00,0,1,37,5
54,Quinton de Kock,3,3,0,122,69,40.66,77,158.44,0,2,18,4
55,Gautam Gambhir,13,13,0,327,60,25.15,278,117.62,0,3,41,4
56,David Wiese,14,7,3,122,47*,30.50,86,141.86,0,0,12,4
57,Naman Ojha,14,11,1,137,28,13.70,121,113.22,0,0,12,4
58,Dinesh Karthik,16,11,0,141,28,12.81,117,120.51,0,0,15,4
59,Shaun Marsh,4,4,0,81,65,20.25,58,139.65,0,1,7,3
60,Michael Hussey,4,4,0,77,56,19.25,70,110.00,0,1,5,3
61,Ryan ten Doeschate,6,5,2,61,38*,20.33,45,135.55,0,0,4,3
62,Virender Sehwag,8,8,0,99,47,12.37,84,117.85,0,0,12,3
63,Steve Smith,14,12,1,293,79*,26.63,221,132.57,0,2,33,3
64,Ravindra Jadeja,17,12,5,132,24,18.85,126,104.76,0,0,7,3
65,Albie Morkel,4,3,2,86,73*,86.00,65,132.30,0,1,9,2
66,Rishi Dhawan,5,5,3,36,25*,18.00,33,109.09,0,0,2,2
67,Unmukt Chand,6,5,0,102,58,20.40,83,122.89,0,1,13,2
68,Mitchell McClenaghan,12,3,2,13,12*,13.00,6,216.66,0,0,0,2
69,Jagadeesha Suchith,13,6,5,48,34*,48.00,32,150.00,0,0,4,2
70,Sarfaraz Khan,13,8,4,111,45*,27.75,71,156.33,0,0,12,2
71,Piyush Chawla,13,8,4,54,22,13.50,47,114.89,0,0,5,2
72,Harshal Patel,15,7,2,19,9*,3.80,12,158.33,0,0,0,2
73,Mohit Sharma,16,6,3,28,21*,9.33,18,155.55,0,0,1,2
74,Kane Williamson,2,2,1,31,26*,31.00,27,114.81,0,0,1,1
75,Thisara Perera,2,2,0,12,9,6.00,15,80.00,0,0,0,1
76,Rilee Rossouw,2,2,0,14,14,7.00,10,140.00,0,0,1,1
77,Manvinder Bisla,2,2,0,37,20,18.50,30,123.33,0,0,6,1
78,Sean Abbott,2,2,0,15,14,7.50,13,115.38,0,0,1,1
79,Johan Botha,4,3,0,31,17,10.33,15,206.66,0,0,5,1
80,Manoj Tiwary,5,3,1,57,32,28.50,56,101.78,0,0,8,1
81,Gurkeerat Mann Singh,5,5,0,35,15,7.00,39,89.74,0,0,3,1
82,Varun Aaron,6,1,0,6,6,6.00,3,200.00,0,0,0,1
83,Mitchell Johnson,9,8,4,31,13*,7.75,36,86.11,0,0,1,1
84,Nathan Coulter-Nile,11,5,1,20,6,5.00,18,111.11,0,0,2,1
85,Umesh Yadav,12,4,3,29,24*,29.00,14,207.14,0,0,5,1
86,Stuart Binny,13,8,4,74,20,18.50,66,112.12,0,0,7,1
87,Bhuvneshwar Kumar,14,3,2,17,11*,17.00,10,170.00,0,0,2,1
88,Ravichandran Ashwin,14,6,3,52,23,17.33,32,162.50,0,0,6,1
89,Anureet Singh,14,6,3,18,10,6.00,31,58.06,0,0,0,1
