POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Virat Kohli,16,16,4,973,113,81.08,640,152.03,4,7,83,38
2,AB de Villiers,16,16,3,687,129*,52.84,407,168.79,1,6,57,37
3,David Warner,17,17,3,848,93*,60.57,560,151.42,0,9,88,31
4,Chris Gayle,10,10,0,227,76,22.70,150,151.33,0,2,17,21
5,Dwayne Smith,12,12,1,324,73,29.45,221,146.60,0,3,35,16
6,Kieron Pollard,13,12,4,207,51*,25.87,144,143.75,0,1,11,16
7,KL Rahul,14,12,3,397,68*,44.11,271,146.49,0,4,37,16
8,Rohit Sharma,14,14,3,489,85*,44.45,368,132.88,0,5,49,16
9,Brendon McCullum,16,16,0,354,60,22.12,262,135.11,0,1,38,16
10,Andre Russell,12,8,1,188,39*,26.85,114,164.91,0,0,10,15
11,MS Dhoni,14,12,5,284,64*,40.57,210,135.23,0,1,18,14
12,Yuvraj Singh,10,10,1,236,44,26.22,179,131.84,0,0,22,13
13,Krunal Pandya,12,9,3,237,86,39.50,124,191.12,0,1,22,13
14,Quinton de Kock,13,13,1,445,108,37.08,327,136.08,1,3,52,13
15,Yusuf Pathan,15,13,8,361,63*,72.20,248,145.56,0,3,33,13
16,Chris Morris,12,7,4,195,82*,65.00,109,178.89,0,1,15,12
17,Ambati Rayudu,13,12,1,334,65,30.36,278,120.14,0,2,28,12
18,Shane Watson,16,15,2,179,36,13.76,134,133.58,0,0,14,12
19,Thisara Perera,12,10,3,150,34,21.42,93,161.29,0,0,7,11
20,Aaron Finch,13,12,2,393,74,39.30,299,131.43,0,5,45,11
21,Jos Buttler,14,14,3,255,41,23.18,184,138.58,0,0,23,11
22,Murali Vijay,14,14,1,453,89,34.84,364,124.45,0,5,50,10
23,Suresh Raina,15,15,1,399,75,28.50,312,127.88,0,3,39,10
24,Faf du Plessis,6,6,0,206,69,34.33,162,127.16,0,2,17,9
25,Manish Pandey,12,11,3,248,52,31.00,183,135.51,0,2,17,9
26,Ajinkya Rahane,14,14,3,480,74,43.63,379,126.64,0,6,54,9
27,Nitish Rana,4,3,0,104,70,34.66,75,138.66,0,1,7,8
28,Carlos Brathwaite,8,6,0,83,34,13.83,38,218.42,0,0,6,8
29,Steve Smith,8,7,1,270,101,45.00,176,153.40,1,0,27,8
30,Glenn Maxwell,11,11,2,179,68,19.88,124,144.35,0,2,14,8
31,Axar Patel,14,10,3,111,36*,15.85,77,144.15,0,0,4,8
32,Sanju Samson,14,14,3,291,60,26.45,259,112.35,0,1,20,8
33,Robin Uthappa,15,15,0,394,72,26.26,289,136.33,0,3,45,8
34,Shikhar Dhawan,17,17,4,501,82*,38.53,429,116.78,0,4,51,8
35,Ben Cutting,4,4,2,65,39*,32.50,34,191.17,0,0,4,6
36,Rishabh Pant,10,10,2,198,69,24.75,152,130.26,0,1,19,6
37,Karun Nair,14,12,2,357,83*,35.70,297,120.20,0,3,40,6
38,Gautam Gambhir,15,15,2,501,90*,38.53,411,121.89,0,5,54,6
39,Moises Henriques,17,15,3,182,31*,15.16,158,115.18,0,0,15,6
40,Bipul Sharma,7,4,2,51,27*,25.50,25,204.00,0,0,1,5
41,Shakib Al Hasan,10,7,2,114,66*,22.80,106,107.54,0,1,7,5
42,Sachin Baby,11,6,1,119,33,23.80,79,150.63,0,0,9,5
43,Suryakumar Yadav,15,11,4,182,60,26.00,143,127.27,0,1,18,5
44,Naman Ojha,17,13,3,136,37,13.60,138,98.55,0,0,7,5
45,Deepak Hooda,17,15,1,144,34,10.28,121,119.00,0,0,9,5
46,Ashish Reddy,4,3,1,47,32,23.50,29,162.06,0,0,2,4
47,Sam Billings,5,4,0,88,54,22.00,64,137.50,0,1,4,4
48,Sarfaraz Khan,5,4,2,66,35*,33.00,31,212.90,0,0,7,4
49,Shaun Marsh,6,6,1,159,56*,31.80,134,118.65,0,1,13,4
50,Hashim Amla,6,6,0,157,96,26.16,119,131.93,0,1,20,4
51,Marcus Stoinis,7,5,1,146,52,36.50,108,135.18,0,1,13,4
52,Eoin Morgan,7,6,1,123,51,24.60,105,117.14,0,1,8,4
53,Saurabh Tiwary,10,7,0,170,57,24.28,141,120.56,0,2,17,4
54,Parthiv Patel,10,10,0,177,81,17.70,152,116.44,0,1,23,4
55,Stuart Binny,14,6,3,63,21,21.00,39,161.53,0,0,5,4
56,David Miller,14,13,3,161,31,16.10,131,122.90,0,0,11,4
57,Ravindra Jadeja,15,15,6,191,36*,21.22,178,107.30,0,0,14,4
58,Martin Guptill,3,3,0,57,48,19.00,55,103.63,0,0,3,3
59,Kevin Pietersen,4,4,2,73,37,36.50,61,119.67,0,0,4,3
60,Usman Khawaja,6,6,0,127,30,21.16,100,127.00,0,0,14,3
61,Gurkeerat Mann Singh,7,6,1,113,51,22.60,86,131.39,0,1,11,3
62,Manan Vohra,7,7,0,161,51,23.00,131,122.90,0,1,19,3
63,Pawan Negi,8,6,4,57,19*,28.50,59,96.61,0,0,2,3
64,JP Duminy,10,8,3,191,49*,38.20,156,122.43,0,0,13,3
65,Mitchell McClenaghan,14,5,2,34,20,11.33,23,147.82,0,0,2,3
66,Dinesh Karthik,16,15,2,335,53,25.76,266,125.93,0,3,38,3
67,Albie Morkel,2,1,0,16,16,16.00,9,177.77,0,0,0,2
68,Travis Head,3,3,1,54,37,27.00,40,135.00,0,0,3,2
69,Eklavya Dwivedi,4,2,0,24,19,12.00,14,171.42,0,0,2,2
70,Kedar Jadhav,4,3,3,42,25*,-,32,131.25,0,0,2,2
71,George Bailey,6,5,1,84,34,21.00,98,85.71,0,0,9,2
72,Rajat Bhatia,10,6,5,34,21,34.00,20,170.00,0,0,1,2
73,Tim Southee,11,4,1,30,25,10.00,19,157.89,0,0,1,2
74,Harbhajan Singh,14,7,4,92,45*,30.66,84,109.52,0,0,11,2
75,Lendl Simmons,1,1,0,8,8,8.00,8,100.00,0,0,0,1
76,Chris Lynn,2,2,1,25,15,25.00,22,113.63,0,0,0,1
77,Rishi Dhawan,2,2,2,14,11*,-,6,233.33,0,0,0,1
78,Vinay Kumar,3,2,1,13,12,13.00,12,108.33,0,0,0,1
79,Mayank Agarwal,3,3,0,27,10,9.00,25,108.00,0,0,3,1
80,Rajagopal Sathish,4,3,0,24,10,8.00,24,100.00,0,0,1,1
81,Jason Holder,4,4,0,22,13,5.50,19,115.78,0,0,2,1
82,Pradeep Sahu,5,2,1,19,18*,19.00,13,146.15,0,0,1,1
83,KC Cariappa,5,2,1,13,12*,13.00,11,118.18,0,0,0,1
84,Kyle Abbott,5,3,2,13,12*,13.00,8,162.50,0,0,0,1
85,Karn Sharma,5,3,3,36,26*,-,30,120.00,0,0,3,1
86,Shreyas Iyer,6,6,0,30,19,5.00,43,69.76,0,0,2,1
87,Iqbal Abdulla,8,2,2,37,33*,-,27,137.03,0,0,4,1
88,Umesh Yadav,9,2,1,9,7*,9.00,5,180.00,0,0,0,1
89,Wriddhiman Saha,12,12,1,270,56,24.54,212,127.35,0,2,29,1
90,Mohit Sharma,14,6,2,32,15,8.00,26,123.07,0,0,3,1
91,Ravichandran Ashwin,14,6,4,41,29,20.50,38,107.89,0,0,3,1
92,Dwayne Bravo,15,13,5,99,22*,12.37,82,120.73,0,0,11,1
93,Bhuvneshwar Kumar,17,8,2,43,21,7.16,27,159.25,0,0,6,1
