POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Sanath Jayasuriya,14,14,2,518,114*,43.16,309,167.63,1,2,58,31
2,Shaun Marsh,11,11,2,616,115,68.44,441,139.68,1,5,59,26
3,Yusuf Pathan,16,15,1,435,68,31.07,243,179.01,0,4,43,25
4,Virender Sehwag,14,14,2,406,94*,33.83,220,184.54,0,3,46,21
5,Rohit Sharma,13,12,1,404,76*,36.72,273,147.98,0,4,38,19
6,Adam Gilchrist,14,14,1,436,109*,33.53,318,137.10,1,3,51,19
7,Yuvraj Singh,15,14,1,299,57,23.00,184,162.50,0,1,24,19
8,Shane Watson,15,15,5,472,76*,47.20,311,151.76,0,4,47,19
9,Suresh Raina,16,14,3,421,55*,38.27,296,142.22,0,3,35,18
10,David Hussey,13,13,2,319,71,29.00,259,123.16,0,2,19,17
11,Brendon McCullum,4,4,1,188,158*,62.66,92,204.34,1,0,13,15
12,Venugopal Rao,11,10,2,288,71*,36.00,210,137.14,0,2,22,15
13,Sourav Ganguly,13,13,1,349,91,29.08,307,113.68,0,3,33,15
14,MS Dhoni,16,14,4,414,65,41.40,310,133.54,0,2,38,15
15,Albie Morkel,13,10,3,241,71,34.42,163,147.85,0,1,18,14
16,Michael Hussey,4,3,1,168,116*,84.00,100,168.00,1,0,12,11
17,Rahul Dravid,14,14,1,371,75*,28.53,298,124.49,0,2,35,11
18,Ross Taylor,4,4,0,149,53,37.25,81,183.95,0,1,13,10
19,Andrew Symonds,4,3,1,161,117*,80.50,105,153.33,1,0,15,9
20,Luke Pomersbach,5,5,4,152,79*,152.00,99,153.53,0,1,13,9
21,Abhishek Nayar,14,10,2,206,45*,25.75,138,149.27,0,0,16,9
22,Robin Uthappa,14,14,5,320,48,35.55,279,114.69,0,0,34,9
23,Kamran Akmal,6,6,1,128,53*,25.60,78,164.10,0,1,13,8
24,Herschelle Gibbs,9,9,0,167,47,18.55,153,109.15,0,0,17,8
25,Kumar Sangakkara,10,9,0,320,94,35.55,198,161.61,0,4,41,8
26,Graeme Smith,11,11,2,441,91,49.00,362,121.82,0,3,54,8
27,James Hopes,11,11,0,221,71,20.09,148,149.32,0,2,27,8
28,Shaun Pollock,13,8,0,147,33,18.37,111,132.43,0,0,12,8
29,Gautam Gambhir,14,14,1,534,86,41.07,379,140.89,0,5,68,8
30,Shikhar Dhawan,14,14,5,340,68*,37.77,295,115.25,0,4,35,8
31,Subramaniam Badrinath,16,11,5,192,64,32.00,130,147.69,0,2,21,8
32,MF Maharoof,10,8,2,125,39,20.83,79,158.22,0,0,10,7
33,Wriddhiman Saha,12,10,5,159,59*,31.80,119,133.61,0,1,12,7
34,Mahela Jayawardene,13,12,5,179,45*,25.57,131,136.64,0,0,15,7
35,Matthew Hayden,4,4,1,189,81,63.00,131,144.27,0,2,24,6
36,Misbah-ul-Haq,8,8,1,117,47*,16.71,81,144.44,0,0,10,6
37,Swapnil Asnodkar,9,9,0,311,60,34.55,233,133.47,0,2,43,6
38,Shahid Afridi,10,9,1,81,33,10.12,46,176.08,0,0,7,6
39,Mark Boucher,10,10,3,225,50*,32.14,177,127.11,0,1,24,6
40,Praveen Kumar,13,12,2,112,34,11.20,98,114.28,0,0,10,6
41,Ravindra Jadeja,14,9,2,135,36*,19.28,103,131.06,0,0,11,6
42,Irfan Pathan,14,10,4,131,40,21.83,116,112.93,0,0,9,6
43,Mohammad Kaif,16,14,3,176,34*,16.00,171,102.92,0,0,14,6
44,Umar Gul,6,4,1,39,24,13.00,19,205.26,0,0,1,5
45,Debabrata Das,6,6,0,103,31,17.16,94,109.57,0,0,9,5
46,Dwaraka Ravi Teja,7,6,0,109,40,18.16,82,132.92,0,0,10,5
47,Dwayne Bravo,9,7,1,178,64*,29.66,134,132.83,0,1,19,5
48,Laxmi Ratan Shukla,13,12,4,163,42,20.37,122,133.60,0,0,17,5
49,Karan Goel,7,6,0,76,26,12.66,78,97.43,0,0,7,4
50,Cameron White,8,8,1,114,31*,16.28,102,111.76,0,0,8,4
51,Jacques Kallis,11,11,0,199,54,18.09,183,108.74,0,1,23,4
52,Dinesh Karthik,13,8,2,145,56*,24.16,107,135.51,0,1,13,4
53,Virat Kohli,13,12,1,165,38,15.00,157,105.09,0,0,18,4
54,Harbhajan Singh,3,3,1,30,28,15.00,17,176.47,0,0,1,3
55,Wasim Jaffer,6,6,0,115,50,19.16,104,110.57,0,1,12,3
56,Tillakaratne Dilshan,7,7,1,104,33,17.33,79,131.64,0,0,14,3
57,Balachandra Akhil,7,7,4,46,27*,15.33,31,148.38,0,0,4,3
58,Vidyut Sivaramakrishnan,9,8,0,145,54,18.12,109,133.02,0,1,21,3
59,Stephen Fleming,10,10,1,196,45,21.77,164,119.51,0,0,27,3
60,Sanjay Bangar,11,7,1,47,17*,7.83,49,95.91,0,0,1,3
61,Parthiv Patel,13,13,2,302,54,27.45,297,101.68,0,2,42,3
62,Piyush Chawla,15,7,3,90,24*,22.50,59,152.54,0,0,10,3
63,Manpreet Gony,16,5,4,35,15*,35.00,23,152.17,0,0,2,3
64,Simon Katich,2,2,1,96,75,96.00,69,139.13,0,1,11,2
65,Dominic Thornely,6,4,2,39,30,19.50,53,73.58,0,0,2,2
66,Salman Butt,7,7,0,193,73,27.57,161,119.87,0,1,30,2
67,Sachin Tendulkar,7,7,1,188,65,31.33,177,106.21,0,1,26,2
68,Arjun Yadav,8,6,1,49,16,9.80,39,125.64,0,0,5,2
69,Scott Styris,8,8,2,112,36*,18.66,123,91.05,0,0,9,2
70,Rajat Bhatia,9,3,1,34,17,17.00,28,121.42,0,0,2,2
71,Ajit Agarkar,9,6,1,54,20,10.80,46,117.39,0,0,5,2
72,Shane Warne,15,7,2,70,22*,14.00,59,118.64,0,0,7,2
73,Dimitri Mascarenhas,1,1,0,9,9,9.00,8,112.50,0,0,0,1
74,Taruwar Kohli,2,2,0,10,7,5.00,15,66.66,0,0,0,1
75,Saurabh Tiwary,3,2,0,26,17,13.00,20,130.00,0,0,3,1
76,Siddharth Chitnis,3,2,0,18,15,9.00,10,180.00,0,0,1,1
77,LPC Silva,3,3,1,40,23*,20.00,26,153.84,0,0,5,1
78,Dwayne Smith,4,3,0,45,20,15.00,40,112.50,0,0,5,1
79,Musavir Khote,4,3,1,24,9,12.00,22,109.09,0,0,2,1
80,Jacob Oram,4,3,2,18,13,18.00,12,150.00,0,0,1,1
81,Shreevats Goswami,4,3,0,82,52,27.33,85,96.47,0,1,9,1
82,Brett Lee,4,3,2,17,16*,17.00,13,130.76,0,0,2,1
83,Ramnaresh Sarwan,4,4,0,73,31,18.25,75,97.33,0,0,6,1
84,Luke Ronchi,4,4,0,34,13,8.50,32,106.25,0,0,6,1
85,Ricky Ponting,4,4,0,39,20,9.75,53,73.58,0,0,2,1
86,Ramesh Powar,5,1,1,28,28*,-,21,133.33,0,0,4,1
87,Niraj Patel,5,4,2,103,57,51.50,81,127.16,0,1,13,1
88,Chaminda Vaas,5,4,1,21,12*,7.00,18,116.66,0,0,0,1
89,VVS Laxman,6,6,1,155,52,31.00,132,117.42,0,1,22,1
90,AB de Villiers,6,6,1,95,26*,19.00,98,96.93,0,0,5,1
91,Joginder Sharma,8,3,1,16,16,8.00,11,145.45,0,0,1,1
92,Mohammad Hafeez,8,3,1,20,13,10.00,22,90.90,0,0,2,1
93,Vinay Kumar,8,4,1,25,23,8.33,22,113.63,0,0,2,1
94,Sohail Tanvir,11,5,2,36,13,12.00,29,124.13,0,0,3,1
95,Mahesh Rawat,11,7,3,34,23*,8.50,39,87.17,0,0,3,1
96,RP Singh,14,9,5,27,10,6.75,24,112.50,0,0,2,1
